datetime,surge,flood_depth,,time,precip_rate,,time,17
10/26/2017 4:00,1.067879971,0,,10/26/2017 4:00,0,,2017-10-26 4:00:00,28227.94784
10/26/2017 5:00,1.067879971,0,,10/26/2017 5:00,0,,2017-10-26 5:00:00,28188.28036
10/26/2017 6:00,1.067879971,0,,10/26/2017 6:00,0,,2017-10-26 6:00:00,28148.46492
10/26/2017 7:00,1.067879971,0,,10/26/2017 7:00,0,,2017-10-26 7:00:00,28108.80709
10/26/2017 8:00,1.067879971,0,,10/26/2017 8:00,0,,2017-10-26 8:00:00,28069.14927
10/26/2017 9:00,1.067879971,0,,10/26/2017 9:00,0,,2017-10-26 9:00:00,28029.6587
10/26/2017 10:00,1.067879971,0,,10/26/2017 10:00,0,,2017-10-26 10:00:00,27990.17779
10/26/2017 11:00,1.067879971,0,,10/26/2017 11:00,0,,2017-10-26 11:00:00,27950.8545
10/26/2017 12:00,1.067879971,0,,10/26/2017 12:00,0,,2017-10-26 12:00:00,27911.5312
10/26/2017 13:00,1.067879971,0,,10/26/2017 13:00,0,,2017-10-26 13:00:00,27872.2272
10/26/2017 14:00,1.067879971,0,,10/26/2017 14:00,0,,2017-10-26 14:00:00,27833.07117
10/26/2017 15:00,1.067879971,0,,10/26/2017 15:00,0,,2017-10-26 15:00:00,27793.93444
10/26/2017 16:00,1.067879971,0,,10/26/2017 16:00,0,,2017-10-26 16:00:00,27754.94567
10/26/2017 17:00,1.067879971,0,,10/26/2017 17:00,0,,2017-10-26 17:00:00,27715.97621
10/26/2017 18:00,1.067879971,0,,10/26/2017 18:00,0,,2017-10-26 18:00:00,27677.16435
10/26/2017 19:00,1.067879971,0,,10/26/2017 19:00,0,,2017-10-26 19:00:00,27638.19489
10/26/2017 20:00,1.067879971,0,,10/26/2017 20:00,0,,2017-10-26 20:00:00,27599.5503
10/26/2017 21:00,1.067879971,0,,10/26/2017 21:00,0,,2017-10-26 21:00:00,27560.74809
10/26/2017 22:00,1.067879971,0,,10/26/2017 22:00,0,,2017-10-26 22:00:00,27522.11316
10/26/2017 23:00,1.067879971,0,,10/26/2017 23:00,0,,2017-10-26 23:00:00,27483.64548
10/27/2017 0:00,1.067879971,0,,10/27/2017 0:00,0,,2017-10-27 0:00:00,27445.16816
10/27/2017 1:00,1.067879971,0,,10/27/2017 1:00,0,,2017-10-27 1:00:00,27406.71014
10/27/2017 2:00,1.067879971,0,,10/27/2017 2:00,0,,2017-10-27 2:00:00,27368.25211
10/27/2017 3:00,1.067879971,0,,10/27/2017 3:00,0,,2017-10-27 3:00:00,27329.95171
10/27/2017 4:00,1.067879971,0,,10/27/2017 4:00,0,,2017-10-27 4:00:00,27291.81856
10/27/2017 5:00,1.067879971,0,,10/27/2017 5:00,0,,2017-10-27 5:00:00,27253.69507
10/27/2017 6:00,1.067879971,0,,10/27/2017 6:00,0,,2017-10-27 6:00:00,27215.57157
10/27/2017 7:00,1.067879971,0,,10/27/2017 7:00,0,,2017-10-27 7:00:00,27177.45773
10/27/2017 8:00,1.067879971,0,,10/27/2017 8:00,0,,2017-10-27 8:00:00,27139.5015
10/27/2017 9:00,1.067879971,0,,10/27/2017 9:00,0,,2017-10-27 9:00:00,27101.70289
10/27/2017 10:00,1.067879971,0,,10/27/2017 10:00,0,,2017-10-27 10:00:00,27063.91392
10/27/2017 11:00,1.067879971,0,,10/27/2017 11:00,0,,2017-10-27 11:00:00,27026.13461
10/27/2017 12:00,1.067879971,0,,10/27/2017 12:00,0,,2017-10-27 12:00:00,26988.35529
10/27/2017 13:00,1.067879971,0,,10/27/2017 13:00,0,,2017-10-27 13:00:00,26950.74324
10/27/2017 14:00,1.067879971,0,,10/27/2017 14:00,0,,2017-10-27 14:00:00,26913.28881
10/27/2017 15:00,1.067879971,0,,10/27/2017 15:00,0,,2017-10-27 15:00:00,26875.67676
