datetime,surge,flood_depth,,time,17,,time,precip_rate
10/27/2012 2:00,1.761132519,0,,10/27/2012 2:00,27368.25211,,10/27/2012 2:00,0
10/27/2012 3:00,1.761132519,0,,10/27/2012 3:00,27329.95171,,10/27/2012 3:00,0
10/27/2012 4:00,1.761132519,0,,10/27/2012 4:00,27291.81856,,10/27/2012 4:00,0
10/27/2012 5:00,1.761132519,0,,10/27/2012 5:00,27253.69507,,10/27/2012 5:00,0
10/27/2012 6:00,1.761132519,0,,10/27/2012 6:00,27215.57157,,10/27/2012 6:00,0
10/27/2012 7:00,1.761132519,0,,10/27/2012 7:00,27177.45773,,10/27/2012 7:00,0
10/27/2012 8:00,1.761132519,0,,10/27/2012 8:00,27139.5015,,10/27/2012 8:00,0
10/27/2012 9:00,1.761132519,0,,10/27/2012 9:00,27101.70289,,10/27/2012 9:00,0
10/27/2012 10:00,1.761132519,0,,10/27/2012 10:00,27063.91392,,10/27/2012 10:00,0
10/27/2012 11:00,1.761132519,0,,10/27/2012 11:00,27026.13461,,10/27/2012 11:00,0
10/27/2012 12:00,1.761132519,0,,10/27/2012 12:00,26988.35529,,10/27/2012 12:00,0
10/27/2012 13:00,1.761132519,0,,10/27/2012 13:00,26950.74324,,10/27/2012 13:00,0
10/27/2012 14:00,1.761132519,0,,10/27/2012 14:00,26913.28881,,10/27/2012 14:00,0
10/27/2012 15:00,1.761132519,0,,10/27/2012 15:00,26875.67676,,10/27/2012 15:00,0
10/27/2012 16:00,1.761132519,0,,10/27/2012 16:00,26838.23197,,10/27/2012 16:00,0
10/27/2012 17:00,1.761132519,0,,10/27/2012 17:00,26800.95445,,10/27/2012 17:00,0
10/27/2012 18:00,1.761132519,0,,10/27/2012 18:00,26763.67693,,10/27/2012 18:00,0
10/27/2012 19:00,1.761132519,0,,10/27/2012 19:00,26726.40906,,10/27/2012 19:00,0
10/27/2012 20:00,1.761132519,0,,10/27/2012 20:00,26689.14119,,10/27/2012 20:00,0
10/27/2012 21:00,1.761132519,0,,10/27/2012 21:00,26652.03094,,10/27/2012 21:00,0
10/27/2012 22:00,1.761132519,0,,10/27/2012 22:00,26615.08795,,10/27/2012 22:00,0
10/27/2012 23:00,1.761132519,0,,10/27/2012 23:00,26577.99699,,10/27/2012 23:00,0
10/28/2012 0:00,1.761132519,0,,10/28/2012 0:00,26541.22126,,10/28/2012 0:00,0
10/28/2012 1:00,1.761132519,0,,10/28/2012 1:00,26504.29758,,10/28/2012 1:00,0
10/28/2012 2:00,1.761132519,0,,10/28/2012 2:00,26467.5315,,10/28/2012 2:00,0
10/28/2012 3:00,1.761132519,0,,10/28/2012 3:00,26430.76542,,10/28/2012 3:00,0
10/28/2012 4:00,1.761132519,0,,10/28/2012 4:00,26394.16661,,10/28/2012 4:00,0
10/28/2012 5:00,1.761132519,0,,10/28/2012 5:00,26357.57745,,10/28/2012 5:00,0
10/28/2012 6:00,1.761132519,0,,10/28/2012 6:00,26320.98829,,10/28/2012 6:00,0
10/28/2012 7:00,1.761132519,0,,10/28/2012 7:00,26284.55674,,10/28/2012 7:00,0
10/28/2012 8:00,1.761132519,0,,10/28/2012 8:00,26248.13484,,10/28/2012 8:00,0
10/28/2012 9:00,1.761132519,0,,10/28/2012 9:00,26211.71295,,10/28/2012 9:00,0
10/28/2012 10:00,1.761132519,0,,10/28/2012 10:00,26175.45832,,10/28/2012 10:00,0
