datetime,surge,flood_depth,,time,precip_rate,,time,21
9/17/2017 0:00,0.219831233,2.315004303,,9/17/2017 0:00,0.000245031,,2017-09-17 0:00:00,14746.49373
9/17/2017 1:00,0.220383982,2.315557076,,9/17/2017 1:00,0.000245031,,2017-09-17 1:00:00,14726.1177
9/17/2017 2:00,0.235720845,2.330893931,,9/17/2017 2:00,0.000330971,,2017-09-17 2:00:00,14796.81387
9/17/2017 3:00,0.244439126,2.339612207,,9/17/2017 3:00,0.000330971,,2017-09-17 3:00:00,14776.64201
9/17/2017 4:00,0.235060329,2.330233408,,9/17/2017 4:00,0.000330971,,2017-09-17 4:00:00,14756.52846
9/17/2017 5:00,0.219050172,2.314223245,,9/17/2017 5:00,0.000171939,,2017-09-17 5:00:00,14534.6996
9/17/2017 6:00,0.218588781,2.313761842,,9/17/2017 6:00,0.000171939,,2017-09-17 6:00:00,14514.39183
9/17/2017 7:00,0.225087006,2.320260072,,9/17/2017 7:00,0.000171939,,2017-09-17 7:00:00,14494.09382
9/17/2017 8:00,0.225179008,2.320352095,,9/17/2017 8:00,5.00E-05,,2017-09-17 8:00:00,14408.50412
9/17/2017 9:00,0.232215307,2.327388383,,9/17/2017 9:00,5.00E-05,,2017-09-17 9:00:00,14388.23537
9/17/2017 10:00,0.241916058,2.337089157,,9/17/2017 10:00,5.00E-05,,2017-09-17 10:00:00,14367.97637
9/17/2017 11:00,0.239514983,2.334688088,,9/17/2017 11:00,6.10E-05,,2017-09-17 11:00:00,14350.11761
9/17/2017 12:00,0.225913567,2.32108665,,9/17/2017 12:00,6.10E-05,,2017-09-17 12:00:00,14329.94617
9/17/2017 13:00,0.21842735,2.313600416,,9/17/2017 13:00,6.10E-05,,2017-09-17 13:00:00,14309.78448
9/17/2017 14:00,0.220113287,2.315286358,,9/17/2017 14:00,0.000138435,,2017-09-17 14:00:00,14330.22248
9/17/2017 15:00,0.223607952,2.318781018,,9/17/2017 15:00,0.000138435,,2017-09-17 15:00:00,14310.20666
9/17/2017 16:00,0.229428702,2.324601788,,9/17/2017 16:00,0.000138435,,2017-09-17 16:00:00,14290.20059
9/17/2017 17:00,0.233460927,2.328634034,,9/17/2017 17:00,0,,2017-09-17 17:00:00,14218.84744
9/17/2017 18:00,0.237588378,2.332761441,,9/17/2017 18:00,0,,2017-09-17 18:00:00,14198.92893
9/17/2017 19:00,0.232072897,2.327245985,,9/17/2017 19:00,0,,2017-09-17 19:00:00,14178.96187
9/17/2017 20:00,0.222374045,2.317547117,,9/17/2017 20:00,0.000176771,,2017-09-17 20:00:00,14254.69259
9/17/2017 21:00,0.216613098,2.311786158,,9/17/2017 21:00,0.000176771,,2017-09-17 21:00:00,14234.92969
9/17/2017 22:00,0.217072978,2.312246068,,9/17/2017 22:00,0.000176771,,2017-09-17 22:00:00,14215.18631
9/17/2017 23:00,0.221109065,2.316282143,,9/17/2017 23:00,0,,2017-09-17 23:00:00,14099.65779
9/18/2017 0:00,0.227170193,2.32234326,,9/18/2017 0:00,0,,2017-09-18 0:00:00,14079.8756
9/18/2017 1:00,0.231821164,2.326994241,,9/18/2017 1:00,0,,2017-09-18 1:00:00,14060.16147
9/18/2017 2:00,0.226199913,2.321373009,,9/18/2017 2:00,5.39E-06,,2017-09-18 2:00:00,14040.58345
9/18/2017 3:00,0.214409995,2.309583047,,9/18/2017 3:00,5.39E-06,,2017-09-18 3:00:00,14020.90833
9/18/2017 4:00,0.211679393,2.306852468,,9/18/2017 4:00,5.39E-06,,2017-09-18 4:00:00,14001.29151
9/18/2017 5:00,0.216677986,2.31185106,,9/18/2017 5:00,6.57E-06,,2017-09-18 5:00:00,13981.7525
9/18/2017 6:00,0.220362513,2.315535609,,9/18/2017 6:00,6.57E-06,,2017-09-18 6:00:00,13962.22325
9/18/2017 7:00,0.219993893,2.315166983,,9/18/2017 7:00,6.57E-06,,2017-09-18 7:00:00,13942.71349
9/18/2017 8:00,0.223215463,2.318388525,,9/18/2017 8:00,2.48E-06,,2017-09-18 8:00:00,13923.15519
9/18/2017 9:00,0.230885274,2.326058323,,9/18/2017 9:00,2.48E-06,,2017-09-18 9:00:00,13903.72324
9/18/2017 10:00,0.233582702,2.328755797,,9/18/2017 10:00,2.48E-06,,2017-09-18 10:00:00,13884.30105
9/18/2017 11:00,0.232168368,2.327341442,,9/18/2017 11:00,0,,2017-09-18 11:00:00,13864.95667
9/18/2017 12:00,0.230974094,2.326147177,,9/18/2017 12:00,0,,2017-09-18 12:00:00,13845.56374
9/18/2017 13:00,0.239326312,2.334499366,,9/18/2017 13:00,0,,2017-09-18 13:00:00,13826.30692
9/18/2017 14:00,0.24982775,2.345000824,,9/18/2017 14:00,0,,2017-09-18 14:00:00,13807.00154
9/18/2017 15:00,0.259189914,2.354363,,9/18/2017 15:00,0,,2017-09-18 15:00:00,13787.76423
9/18/2017 16:00,0.265228713,2.360401795,,9/18/2017 16:00,0,,2017-09-18 16:00:00,13768.59497
9/18/2017 17:00,0.274904236,2.370077315,,9/18/2017 17:00,2.67E-07,,2017-09-18 17:00:00,13749.38691
9/18/2017 18:00,0.281112099,2.376285177,,9/18/2017 18:00,2.67E-07,,2017-09-18 18:00:00,13730.2469
9/18/2017 19:00,0.287839589,2.383012648,,9/18/2017 19:00,2.67E-07,,2017-09-18 19:00:00,13711.17496
9/18/2017 20:00,0.289438078,2.384611144,,9/18/2017 20:00,0,,2017-09-18 20:00:00,13692.12251
9/18/2017 21:00,0.294297853,2.389470955,,9/18/2017 21:00,0,,2017-09-18 21:00:00,13673.07007
9/18/2017 22:00,0.297697544,2.392870625,,9/18/2017 22:00,0,,2017-09-18 22:00:00,13654.03713
9/18/2017 23:00,0.29877036,2.393943442,,9/18/2017 23:00,0,,2017-09-18 23:00:00,13635.082
9/19/2017 0:00,0.301211266,2.39638435,,9/19/2017 0:00,0,,2017-09-19 0:00:00,13616.13663
9/19/2017 1:00,0.308973181,2.40414626,,9/19/2017 1:00,0,,2017-09-19 1:00:00,13597.24955
9/19/2017 2:00,0.307547677,2.402720742,,9/19/2017 2:00,0,,2017-09-19 2:00:00,13578.39174
9/19/2017 3:00,0.297575472,2.392748547,,9/19/2017 3:00,0,,2017-09-19 3:00:00,13559.53392
9/19/2017 4:00,0.286045739,2.381218813,,9/19/2017 4:00,0,,2017-09-19 4:00:00,13540.69561
9/19/2017 5:00,0.296008921,2.391181973,,9/19/2017 5:00,4.15E-06,,2017-09-19 5:00:00,13521.98366
9/19/2017 6:00,0.281686212,2.376859298,,9/19/2017 6:00,4.15E-06,,2017-09-19 6:00:00,13503.22316
9/19/2017 7:00,0.293441434,2.388614508,,9/19/2017 7:00,4.15E-06,,2017-09-19 7:00:00,13484.54047
9/19/2017 8:00,0.300394399,2.395567503,,9/19/2017 8:00,0,,2017-09-19 8:00:00,13465.79947
9/19/2017 9:00,0.303659089,2.398832168,,9/19/2017 9:00,0,,2017-09-19 9:00:00,13447.19458
