datetime,surge,flood_depth,,time,precip_rate,,time,9
7/2/2014 8:00,3.102036453,0,,7/2/2014 8:00,0,,2014-07-02 8:00:00,5331.331155
7/2/2014 9:00,3.102036453,0,,7/2/2014 9:00,0,,2014-07-02 9:00:00,5323.831056
7/2/2014 10:00,3.102036453,0,,7/2/2014 10:00,0,,2014-07-02 10:00:00,5316.330956
7/2/2014 11:00,3.102036453,0,,7/2/2014 11:00,0,,2014-07-02 11:00:00,5308.830856
7/2/2014 12:00,3.102036453,0,,7/2/2014 12:00,0,,2014-07-02 12:00:00,5301.361749
7/2/2014 13:00,3.102036453,0,,7/2/2014 13:00,0,,2014-07-02 13:00:00,5293.923634
7/2/2014 14:00,3.102036453,0,,7/2/2014 14:00,0,,2014-07-02 14:00:00,5286.485518
7/2/2014 15:00,3.102036453,0,,7/2/2014 15:00,0,,2014-07-02 15:00:00,5279.047403
7/2/2014 16:00,3.102036453,0,,7/2/2014 16:00,0,,2014-07-02 16:00:00,5271.64028
7/2/2014 17:00,3.102036453,0,,7/2/2014 17:00,0,,2014-07-02 17:00:00,5264.233156
7/2/2014 18:00,3.102036453,0,,7/2/2014 18:00,0,,2014-07-02 18:00:00,5256.857025
7/2/2014 19:00,3.102036453,0,,7/2/2014 19:00,0,,2014-07-02 19:00:00,5249.480894
7/2/2014 20:00,3.102036453,0,,7/2/2014 20:00,0,,2014-07-02 20:00:00,5242.104763
7/2/2014 21:00,3.102036453,0,,7/2/2014 21:00,0,,2014-07-02 21:00:00,5234.759624
7/2/2014 22:00,3.102036453,0,,7/2/2014 22:00,0,,2014-07-02 22:00:00,5227.414486
7/2/2014 23:00,3.102036453,0,,7/2/2014 23:00,0,,2014-07-02 23:00:00,5220.100339
7/3/2014 0:00,3.102036453,0,,7/3/2014 0:00,0,,2014-07-03 0:00:00,5212.786192
7/3/2014 1:00,3.102036453,0,,7/3/2014 1:00,0,,2014-07-03 1:00:00,5205.472045
7/3/2014 2:00,3.102036453,0,,7/3/2014 2:00,0,,2014-07-03 2:00:00,5198.188891
7/3/2014 3:00,3.102036453,0,,7/3/2014 3:00,0,,2014-07-03 3:00:00,5190.936728
7/3/2014 4:00,3.102036453,0,,7/3/2014 4:00,0,,2014-07-03 4:00:00,5183.653574
7/3/2014 5:00,3.102036453,0,,7/3/2014 5:00,0,,2014-07-03 5:00:00,5176.432403
7/3/2014 6:00,3.102036453,0,,7/3/2014 6:00,0,,2014-07-03 6:00:00,5169.180241
