datetime,surge,flood_depth,,time,precip_rate,,time,9
8/26/2011 0:00,3.21203054,0,,8/26/2011 0:00,0,,2011-08-26 0:00:00,5391.858819
8/26/2011 1:00,3.21203054,0,,8/26/2011 1:00,0,,2011-08-26 1:00:00,5384.234751
8/26/2011 2:00,3.21203054,0,,8/26/2011 2:00,0,,2011-08-26 2:00:00,5376.641675
8/26/2011 3:00,3.21203054,0,,8/26/2011 3:00,0,,2011-08-26 3:00:00,5369.048599
8/26/2011 4:00,3.21203054,0,,8/26/2011 4:00,0,,2011-08-26 4:00:00,5361.486515
8/26/2011 5:00,3.21203054,0,,8/26/2011 5:00,0,,2011-08-26 5:00:00,5353.924431
8/26/2011 6:00,3.21203054,0,,8/26/2011 6:00,0,,2011-08-26 6:00:00,5346.393339
8/26/2011 7:00,3.21203054,0,,8/26/2011 7:00,0,,2011-08-26 7:00:00,5338.831255
8/26/2011 8:00,3.21203054,0,,8/26/2011 8:00,0,,2011-08-26 8:00:00,5331.331155
8/26/2011 9:00,3.21203054,0,,8/26/2011 9:00,0,,2011-08-26 9:00:00,5323.831056
8/26/2011 10:00,3.21203054,0,,8/26/2011 10:00,0,,2011-08-26 10:00:00,5316.330956
8/26/2011 11:00,3.21203054,0,,8/26/2011 11:00,0,,2011-08-26 11:00:00,5308.830856
8/26/2011 12:00,3.21203054,0,,8/26/2011 12:00,0,,2011-08-26 12:00:00,5301.361749
8/26/2011 13:00,3.21203054,0,,8/26/2011 13:00,0,,2011-08-26 13:00:00,5293.923634
8/26/2011 14:00,3.21203054,0,,8/26/2011 14:00,0,,2011-08-26 14:00:00,5286.485518
8/26/2011 15:00,3.21203054,0,,8/26/2011 15:00,0,,2011-08-26 15:00:00,5279.047403
8/26/2011 16:00,3.21203054,0,,8/26/2011 16:00,0,,2011-08-26 16:00:00,5271.64028
8/26/2011 17:00,3.21203054,0,,8/26/2011 17:00,0,,2011-08-26 17:00:00,5264.233156
8/26/2011 18:00,3.21203054,0,,8/26/2011 18:00,0,,2011-08-26 18:00:00,5256.857025
8/26/2011 19:00,3.21203054,0,,8/26/2011 19:00,0,,2011-08-26 19:00:00,5249.480894
8/26/2011 20:00,3.21203054,0,,8/26/2011 20:00,0,,2011-08-26 20:00:00,5242.104763
8/26/2011 21:00,3.21203054,0,,8/26/2011 21:00,0,,2011-08-26 21:00:00,5234.759624
8/26/2011 22:00,3.21203054,0,,8/26/2011 22:00,0,,2011-08-26 22:00:00,5227.414486
8/26/2011 23:00,3.21203054,0,,8/26/2011 23:00,0,,2011-08-26 23:00:00,5220.100339
8/27/2011 0:00,3.21203054,0,,8/27/2011 0:00,0,,2011-08-27 0:00:00,5212.786192
8/27/2011 1:00,3.21203054,0,,8/27/2011 1:00,0,,2011-08-27 1:00:00,5205.472045
8/27/2011 2:00,3.21203054,0,,8/27/2011 2:00,0,,2011-08-27 2:00:00,5198.188891
8/27/2011 3:00,3.21203054,0,,8/27/2011 3:00,0,,2011-08-27 3:00:00,5190.936728
8/27/2011 4:00,3.21203054,0,,8/27/2011 4:00,0,,2011-08-27 4:00:00,5183.653574
8/27/2011 5:00,3.21203054,0,,8/27/2011 5:00,0,,2011-08-27 5:00:00,5176.432403
8/27/2011 6:00,3.21203054,0,,8/27/2011 6:00,0,,2011-08-27 6:00:00,5169.180241
8/27/2011 7:00,3.21203054,0,,8/27/2011 7:00,0,,2011-08-27 7:00:00,5161.959071
8/27/2011 8:00,3.21203054,0,,8/27/2011 8:00,0,,2011-08-27 8:00:00,5154.7379
