Guage,long,lat,Catchment ID,,,,8 Catchments,,,,Catchment,Up Stream,Down Stream,
8,-73.92812229,40.79886357,wb-694723,,,,wb-694722,,,,wb-694723,40.84,40.79,lat
9,-73.93297853,40.81465804,wb-694723,,,,wb-694723,,,,,-73.93,-73.914,long
10,-73.91852069,40.85901734,wb-694722,,,,wb-694724,,,,wb-694722,40.89,40.84,lat
11,-73.93620046,40.78674719,wb-694724,,,,wb-694725,,,,,-73.94,-73.93,long
12,-73.9443425,40.771161,wb-694725,,,,wb-694856,,,,wb-694724,40.79,40.77,lat
13,-73.95327527,40.7608479,wb-694725,,,,wb-694855,,,,,-73.914,-73.94,long
14,-73.96418112,40.74881316,wb-694725,,,,wb-694854,,,,wb-694725,40.77,40.67,lat
15,-73.97000101,40.7335919,wb-694725,,,,wb-694853,,,,,-73.94,-74.01,long
16,-73.96937425,40.72186259,wb-694725,,,,,,,,wb-694856,40.76,40.69,lat
17,-73.98463437,40.70654412,wb-694725,,,,,,,,,-74.03,-74.05,long
19,-73.99858622,40.70338978,wb-694725,,,,,,,,wb-694855,40.79,40.76,lat
20,-74.01872543,40.69805168,wb-694856,,,,,,,,,-74.01,-74.03,long
21,-74.02139448,40.71685636,wb-694856,,,,,,,,wb-694854,40.85,40.79,lat
22,-74.01593505,40.73796612,wb-694856,,,,,,,,,-73.97,-74.01,long
23,-74.00841318,40.75968249,wb-694855,,,,,,,,wb-694853,40.89,40.85,lat
24,-73.99676642,40.77642472,wb-694854,,,,,,,,,73.94,-73.97,long
25,-73.98669681,40.79074054,wb-694854,,,,,,,,,,,
26,-73.97480741,40.80748277,wb-694854,,,,,,,,,,,
27,-73.96333704,40.82785952,wb-694854,,,,,,,,,,,
28,-73.952201,40.84738034,wb-694854,,,,,,,,,,,
29,-73.94080294,40.86703217,wb-694853,,,,,,,,,,,
30,-73.9340877,40.83301385,wb-694723,,,,,,,,,,,
31,-73.92699896,40.84780748,wb-694722,,,,,,,,,,,
