Gauge ,Precipitation_importance,Surge_importance,Discharge_importance,R-squared,RMSE,KGE,Avg_cv_score
11,0.972422809,0,0.027577191,0.961281573,0.098836552,0.930933942,0.012112857
12,0.874027731,0,0.125972269,0.880322069,0.113536431,0.826621951,0.024799826
14,0.983989775,0,0.016010225,0.961267791,0.086207312,0.952981565,0.008243757
15,0.985741231,0,0.014258769,0.969404686,0.079823831,0.896332271,0.013457155
16,0.988651888,0,0.011348112,0.939708198,0.148995135,0.770495729,0.008569646
17,0.933657055,0,0.066342945,0.808276713,0.161127858,0.748619931,0.03206475
19,0.963439339,0,0.036560661,0.753194639,1.22679786,0.848034272,0.868492165
20,0.984051874,0.009499587,0.00644854,0.768483957,0.535463084,0.866089281,0.165672581
21,0.912533711,0.0132352,0.074231089,0.822906325,0.324555522,0.821188487,0.11126583
22,0.935484895,0.026936524,0.03757858,0.882695067,0.139672706,0.823062831,0.014174876
23,0.739435345,0.048923593,0.211641062,0.423424597,1.259794194,0.721432046,1.232302455
24,0.680058905,0.089830189,0.230110906,0.421509572,0.684136865,0.427761844,0.36909977
25,0.639219752,0.045011523,0.315768725,0.168201868,1.903565636,0.470501826,2.984173716
26,0.735688828,0.060729519,0.203581652,0.920057657,0.118829033,0.870165919,0.076572967
27,0.891681078,0.012548848,0.095770074,0.767163819,0.061422952,0.566066613,0.002121326
28,0.823055236,0.016678139,0.160266625,0.226504699,0.165362662,0.244783863,0.03975061
29,0.917939361,9.75E-07,0.082059664,0.3677944,0.223945766,0.242289938,0.015057784
8,0.963189353,0,0.036810647,0.95836622,0.104856114,0.870603427,0.032576679
9,0.798338733,0,0.201661267,0.821829196,0.17042805,0.803812939,0.067411221
13,0.975678111,0,0.024321889,0.763149204,0.11853001,0.534218759,0.027377657
