Gauge ,Precipitation_importance,Surge_importance,Discharge_importance,R-squared,RMSE,KGE,Avg_cv_score
11,2.539278652,0,0.000698268,0.71879312,0.285464916,0.526386769,0.0673428
12,0.228233947,0,0.177113759,0.01598486,0.441092549,-0.342849539,0.037694517
14,2.476213636,0,0.111182558,0.707968239,0.229758561,0.585588402,0.057002091
15,2.078555038,0,0.14346449,0.600664356,0.182468599,0.557144822,0.091930597
16,2.24469373,0,0.008245072,0.686900685,0.287719811,0.525049124,0.068850567
17,0.56551087,0,0.222512204,0.143933679,0.349004431,-0.151933581,0.186888028
19,1.762390875,0,0.553695532,-0.077485791,2.68005795,-0.229139496,6.935316494
20,1.910406556,0.016114206,0.357129767,0.04385981,1.172699589,-0.007870923,1.44386799
21,1.844937224,0.311197095,0.64123772,0.144065498,0.65641012,0.167592326,0.443148398
22,1.716995329,0.111694417,0.165032431,0.584383254,0.219392518,0.488942324,0.061976948
23,0.855927583,0.307831114,0.159579811,0.058751923,1.601780122,0.013822674,3.479290016
24,0.817384306,0.300550118,0.097517742,0.075920132,0.731677324,-0.037246804,0.748220293
25,0.363928402,0.097990127,0.097956039,-0.037997925,2.761304053,-0.453777486,4.902812868
26,0.427325716,0.001180643,0.203020165,0.091638628,0.66915744,0.012762448,0.107785979
27,0.423496875,0.009097862,0.141378956,0.215913063,0.106394859,0.255343957,0.005487136
28,0.425207379,0.00890243,0.223824191,0.138273233,0.271553267,0.04964761,0.05810016
29,0.128360369,0.014640021,0.217046764,-0.060201217,0.09148464,0.040873826,0.085776277
8,0.236096568,0,0.018051998,-0.00828358,0.257018508,-0.594664475,0.222913543
9,6.14E-06,0,2.46E-05,-0.00547487,0.331440889,-0.292110805,0.161349121
13,0.05278139,0,0.150126621,0.122072502,0.139569319,-0.005017393,0.048966969
