Gauge,Precipitation_importance,Surge_importance,Discharge_importance,R-squared,RMSE,KGE,Avg_cv_score,Algorithm,long,lat
11,0.127884926,0.221693196,0.172662516,0.922410007,0.121443697,0.875636981,0.019547816,MLP,-73.93620046,40.78674719
12,0.252544951,0.311463364,0.172696789,0.723836255,0.168716025,0.465442531,0.025427169,MLP,-73.9443425,40.771161
14,0.157578326,0.464393992,0.172492191,0.931185058,0.081441266,0.938495063,0.008815062,MLP,-73.96418112,40.74881316
15,0.141900284,0.302212603,0.172568987,0.913430104,0.124505845,0.933888299,0.01050934,MLP,-73.97000101,40.7335919
16,0.114076189,0.407915788,0.172521216,0.965241632,0.085107849,0.943760226,0.008808863,MLP,-73.96937425,40.72186259
17,0.167986069,0.313915199,0.172635462,0.743912049,0.222011429,0.822307154,0.036599405,MLP,-73.98463437,40.70654412
19,1.674645246,0.924113941,0.172750802,0.908787234,0.609001547,0.934520691,1.261177254,MLP,-73.99858622,40.70338978
20,0.296145576,0.590727363,0.172735887,0.890197283,0.34345583,0.919306569,0.22262992,MLP,-74.01872543,40.69805168
21,0.043185859,0.276647022,0.172723377,0.729169362,0.33728896,0.791345528,0.113406826,MLP,-74.02139448,40.71685636
22,0.188708726,0.178154434,0.172667572,0.887377979,0.117851303,0.90153833,0.018793933,MLP,-74.01593505,40.73796612
23,0.441946605,1.246745159,0.172720126,0.697757182,1.114186075,0.810644746,1.588473849,MLP,-74.00841318,40.75968249
24,0.202795616,1.310329156,0.172707569,0.384883844,0.636721234,0.448123396,0.417958125,MLP,-73.99676642,40.77642472
25,0.677521705,1.990436102,0.172741128,-0.030911965,2.228365277,0.351616077,2.716961783,MLP,-73.98669681,40.79074054
26,0.124948452,0.281778154,0.172738068,0.498290993,0.358340532,0.450335895,0.055066383,MLP,-73.97480741,40.80748277
27,0.151295762,0.207306907,0.172712854,0.50845393,0.036036758,0.523586857,0.00096565,MLP,-73.96333704,40.82785952
28,0.142142828,0.226735534,0.172714639,0.535497233,0.229954343,0.708878254,0.028986677,MLP,-73.952201,40.84738034
29,0.137727976,0.255155438,0.172735013,0.859259397,0.106314957,0.707386544,0.025533142,MLP,-73.94080294,40.86703217
8,0.110981738,0.25241474,0.172664739,0.862979046,0.181824806,0.855165155,0.028381682,MLP,-73.92812229,40.79886357
9,0.158716486,0.684518078,0.172705999,0.839845946,0.150354128,0.834827444,0.076562156,MLP,-73.93297853,40.81465804
13,0.467662326,0.138799255,0.172656706,0.612880538,0.149055271,0.67081257,0.010913041,MLP,-73.95327527,40.7608479
11,0.972422809,0.0,0.027577191,0.961281573,0.098836552,0.930933942,0.012112857,RF,-73.93620046,40.78674719
12,0.874027731,0.0,0.125972269,0.880322069,0.113536431,0.826621951,0.024799826,RF,-73.9443425,40.771161
14,0.983989775,0.0,0.016010225,0.961267791,0.086207312,0.952981565,0.008243757,RF,-73.96418112,40.74881316
15,0.985741231,0.0,0.014258769,0.969404686,0.079823831,0.896332271,0.013457155,RF,-73.97000101,40.7335919
16,0.988651888,0.0,0.011348112,0.939708198,0.148995135,0.770495729,0.008569646,RF,-73.96937425,40.72186259
17,0.933657055,0.0,0.066342945,0.808276713,0.161127858,0.748619931,0.03206475,RF,-73.98463437,40.70654412
19,0.963439339,0.0,0.036560661,0.753194639,1.22679786,0.848034272,0.868492165,RF,-73.99858622,40.70338978
20,0.984051874,0.009499587,0.00644854,0.768483957,0.535463084,0.866089281,0.165672581,RF,-74.01872543,40.69805168
21,0.912533711,0.0132352,0.074231089,0.822906325,0.324555522,0.821188487,0.11126583,RF,-74.02139448,40.71685636
22,0.935484895,0.026936524,0.03757858,0.882695067,0.139672706,0.823062831,0.014174876,RF,-74.01593505,40.73796612
23,0.739435345,0.048923593,0.211641062,0.423424597,1.259794194,0.721432046,1.232302455,RF,-74.00841318,40.75968249
24,0.680058905,0.089830189,0.230110906,0.421509572,0.684136865,0.427761844,0.36909977,RF,-73.99676642,40.77642472
